ID_x,Team_Name,Opponent_Name,Year,Owner_Team_Code,PlayNum,Possession,Yard,Hash,Down,Distance,Drive,Quarter,D_Formation,Formation,Formation_Strength,Play_Type,Play_Type_Dir,Pass_Zone,Coverage,Pressure_Left,Pressure_Middle,Pressure_Right,Result,Result_BallCarrier,Event,Result_Lat,Result_Lon,Play_Lat,Play_Lon,Simplified,ID_y,Team_Code,Wide_Recievers,Tight_Ends,Running_Backs,Image
250,Burnsville,Park,2021,EVHS22,18,Park,59,Right,2,8,4,1,3-4,Double Wide,Left,Pocket Pass,Unknown,Non Passing Play,Zone 4,0,0,0,-9,-99,,5.0,5.045,5.9,6.0,false,18,EVHS22,4,0,1,/Dev
251,Burnsville,Park,2021,EVHS22,19,Park,50,Right,3,17,4,1,3-4,Trips Flex,Left,Pocket Pass,Unknown,Middle - Left,Zone 4,0,0,0,0,-99,,5.0,5.045,5.0,6.0,false,19,EVHS22,4,0,1,/Dev
148,Burnsville,Park,2021,EVHS22,19,Park,50,Right,3,17,4,1,3-4,Trips Flex,Left,Pocket Pass,Unknown,Middle - Left,Zone 4,0,0,0,0,-99,,5.0,5.045,5.0,6.0,false,19,EVHS22,4,0,1,/Dev
252,Burnsville,Park,2021,EVHS22,20,Burnsville,79,Right,1,10,5,1,4-3,Twins,Right,Inside Run,Right,Non Passing Play,Man 1,0,1,0,10,-99,,8.9,5.045,7.9,6.0,false,23,EVHS22,2,1,2,/Dev
149,Burnsville,Park,2021,EVHS22,20,Burnsville,79,Right,1,10,5,1,4-3,Twins,Right,Inside Run,Right,Non Passing Play,Man 1,0,1,0,10,-99,,8.9,5.045,7.9,6.0,false,23,EVHS22,2,1,2,/Dev
150,Burnsville,Park,2021,EVHS22,21,Burnsville,89,Right,1,10,5,1,4-3,Twins,Right,Inside Run,Right,Non Passing Play,Man 1,0,1,0,11,-99,,10.0,5.045,8.9,6.0,false,23,EVHS22,2,1,2,/Dev
253,Burnsville,Park,2021,EVHS22,21,Burnsville,89,Right,1,10,5,1,4-3,Twins,Right,Inside Run,Right,Non Passing Play,Man 1,0,1,0,11,-99,,10.0,5.045,8.9,6.0,false,23,EVHS22,2,1,2,/Dev
151,Burnsville,Park,2021,EVHS22,22,Park,42,Left,1,10,6,1,3-4,Thunder,Right,Pocket Pass,Unknown,Flats - Left,Zone 2,0,0,0,3,-99,,4.5,5.045,4.2,5.045,false,25,EVHS22,3,0,2,/Dev
254,Burnsville,Park,2021,EVHS22,22,Park,42,Left,1,10,6,1,3-4,Thunder,Right,Pocket Pass,Unknown,Flats - Left,Zone 2,0,0,0,3,-99,,4.5,5.045,4.2,5.045,false,25,EVHS22,3,0,2,/Dev
255,Burnsville,Park,2021,EVHS22,23,Park,50,Left,2,2,6,1,3-4,Double Wide,Left,Pocket Pass,Unknown,Flats - Left,Zone 2,0,0,0,2,-99,,5.2,5.045,5.0,5.045,false,18,EVHS22,4,0,1,/Dev
152,Burnsville,Park,2021,EVHS22,23,Park,50,Left,2,2,6,1,3-4,Double Wide,Left,Pocket Pass,Unknown,Flats - Left,Zone 2,0,0,0,2,-99,,5.2,5.045,5.0,5.045,false,18,EVHS22,4,0,1,/Dev
153,Burnsville,Park,2021,EVHS22,24,Park,52,Left,1,10,6,1,3-4,Double Wide,Right,Pocket Pass,Unknown,Flats - Left,Zone 4,0,0,0,5,-99,,5.7,5.045,5.2,5.045,false,18,EVHS22,4,0,1,/Dev
256,Burnsville,Park,2021,EVHS22,24,Park,52,Left,1,10,6,1,3-4,Double Wide,Right,Pocket Pass,Unknown,Flats - Left,Zone 4,0,0,0,5,-99,,5.7,5.045,5.2,5.045,false,18,EVHS22,4,0,1,/Dev
