ID,Team_Name,Opponent_Name,Year,Owner_Team_Code,PlayNum,Possession,Yard,Hash,Down,Distance,Drive,Quarter,D_Formation,Formation,Formation_Strength,Play_Type,Play_Type_Dir,Pass_Zone,Coverage,Pressure_Left,Pressure_Middle,Pressure_Right,Result,Result_BallCarrier,Result_Lat,Result_Lon,Play_Lat,Play_Lon,Simplified
93,Burnsville,Farmington,2021,EVHS22,65,Farmington,41,Left,1,10,11,1,4-3,Double Wide,Right,Inside Run,Right,Non Passing Play,Man 1,1,0,0,1,-99,4.2,5.045,4.1,5.045,false
94,Burnsville,Farmington,2021,EVHS22,66,Farmington,42,Middle,2,9,11,1,4-3,Double Wide,Right,Inside Run,Left,Non Passing Play,Man 1,1,0,0,1,-99,4.3,5.045,4.2,4.0,false
95,Burnsville,Farmington,2021,EVHS22,67,Farmington,43,Left,3,8,11,1,4-3,Double Wide,Right,Pocket Pass,Not Selected,Deep - Right,Man 1,1,0,0,0,-99,4.3,5.045,4.3,5.045,false
96,Burnsville,Farmington,2021,EVHS22,68,Burnsville,16,Left,1,10,12,1,3-4,Wing,Left,Inside Run,Right,Non Passing Play,Zone 3,0,0,0,5,-99,2.1,5.045,1.6,5.045,false
97,Burnsville,Farmington,2021,EVHS22,69,Burnsville,21,Left,2,5,12,1,3-4,Wing,Left,Outside Run,Right,Non Passing Play,Zone 2,0,0,0,9,-99,3.0,5.045,2.1,5.045,false
98,Burnsville,Farmington,2021,EVHS22,70,Burnsville,30,Right,1,10,12,1,3-4,Wing,Right,Inside Run,Right,Non Passing Play,Zone 3,0,0,0,2,-99,3.2,5.045,3.0,6.0,false
99,Burnsville,Farmington,2021,EVHS22,71,Burnsville,32,Middle,2,8,12,1,3-4,Wing,Right,Outside Run,Left,Non Passing Play,Zone 3,0,0,0,5,-99,3.7,5.045,3.2,4.0,false
100,Burnsville,Farmington,2021,EVHS22,72,Burnsville,37,Left,3,3,12,1,3-4,Wing,Left,Inside Run,Right,Non Passing Play,Zone 2,0,0,0,33,-99,7.0,5.045,3.7,5.045,false
101,Burnsville,Farmington,2021,EVHS22,73,Burnsville,70,Left,1,10,12,1,3-4,Wing,Left,Boot Pass,Not Selected,Deep - Right,Zone 2,0,0,0,30,-99,10.0,5.045,7.0,5.045,false
102,Burnsville,Farmington,2021,EVHS22,74,Farmington,75,Left,1,10,13,1,4-3,Double Wide,Right,Inside Run,Right,Non Passing Play,Zone 3,1,0,0,-1,-99,7.4,5.045,7.5,5.045,false
103,Burnsville,Farmington,2021,EVHS22,75,Farmington,70,Middle,2,6,13,1,4-3,Double Wide,Left,Outside Run,Right,Non Passing Play,Man 1,1,0,0,1,-99,7.1,5.045,7.0,4.0,false
104,Burnsville,Farmington,2021,EVHS22,76,Farmington,71,Right,3,5,13,1,4-3,Double Wide,Left,Pocket Pass,Not Selected,Middle - Left,Man 1,1,0,0,0,-99,7.1,5.045,7.1,6.0,false
105,Burnsville,Farmington,2021,EVHS22,77,Burnsville,31,Left,1,10,14,1,3-4,Wing,Left,Inside Run,Left,Non Passing Play,Zone 4,0,0,0,2,-99,3.3,5.045,3.1,5.045,false
106,Burnsville,Farmington,2021,EVHS22,78,Burnsville,33,Left,2,8,14,1,3-4,Wing,Left,Inside Run,Right,Non Passing Play,Zone 4,0,0,0,0,-99,3.3,5.045,3.3,5.045,false
107,Burnsville,Farmington,2021,EVHS22,79,Burnsville,33,Middle,3,8,14,1,3-4,Double Wide,Left,Pocket Pass,Not Selected,Middle - Middle,Zone 4,0,0,0,0,-99,3.3,5.045,3.3,4.0,false
108,Burnsville,Farmington,2021,EVHS22,80,Farmington,30,Left,1,10,15,1,4-3,Double Wide,Right,Inside Run,Not Selected,Non Passing Play,Man 1,1,0,0,17,-99,4.7,5.045,3.0,5.045,false
109,Burnsville,Farmington,2021,EVHS22,81,Farmington,47,Right,1,10,15,1,4-3,Double Wide,Right,Pocket Pass,Not Selected,Middle - Right,Man 1,1,0,0,8,-99,5.5,5.045,4.7,6.0,false
110,Burnsville,Farmington,2021,EVHS22,82,Farmington,58,Right,1,10,15,1,4-3,Double Wide,Left,Inside Run,Not Selected,Non Passing Play,Man 1,1,0,0,-1,-99,5.7,5.045,5.8,6.0,false
111,Burnsville,Farmington,2021,EVHS22,83,Farmington,57,Right,2,11,15,1,4-3,Trips Flex,Left,Boot Pass,Not Selected,Non Passing Play,Man 1,1,0,0,-5,-99,5.2,5.045,5.7,6.0,false
112,Burnsville,Farmington,2021,EVHS22,84,Farmington,52,Right,3,16,15,1,4-3,Trips Flex,Left,Pocket Pass,Not Selected,Flats - Left,Zone 4,0,0,0,0,-99,5.2,5.045,5.2,6.0,false
113,Burnsville,Farmington,2021,EVHS22,85,Burnsville,39,Left,1,10,16,1,3-4,Wing,Right,Outside Run,Right,Non Passing Play,Zone 3,0,0,0,-1,-99,3.8,5.045,3.9,5.045,false
114,Burnsville,Farmington,2021,EVHS22,86,Burnsville,38,Right,2,11,16,1,3-4,Wing,Left,Inside Run,Right,Non Passing Play,Zone 4,0,0,0,2,-99,4.0,5.045,3.8,6.0,false
115,Burnsville,Farmington,2021,EVHS22,87,Burnsville,40,Right,3,9,16,1,3-4,Twins,Left,Boot Pass,Not Selected,Flats - Left,Zone 4,1,0,0,1,-99,4.1,5.045,4.0,6.0,false
116,Burnsville,Farmington,2021,EVHS22,88,Farmington,30,Middle,1,10,17,1,4-3,Double Wide,Right,Outside Run,Right,Non Passing Play,Man 1,1,0,0,1,-99,3.1,5.045,3.0,4.0,false
